x_pos,y_pos
0,0
1,0.4877375
2,0.95095
3,1.3896375
4,1.8038
5,2.1934375
6,2.55855
7,2.8991375
8,3.2152
9,3.5067375
10,3.7737499999999997
11,4.0162375
12,4.2341999999999995
13,4.4276374999999994
14,4.59655
15,4.740937499999999
16,4.860799999999999
17,4.9561375
18,5.026949999999999
19,5.073237499999999
20,5.095
21,5.0922374999999995
22,5.06495
23,5.013137499999999
24,4.9368
25,4.835937499999999
26,4.71055
27,4.560637499999999
28,4.386199999999999
29,4.1872375
30,3.963749999999999
31,3.7157374999999995
32,3.443199999999999
33,3.1461374999999983
34,2.8245499999999986
35,2.4784374999999983
36,2.1077999999999992
37,1.7126374999999996
38,1.2929499999999976
39,0.8487374999999986
40,0.379999999999999
41,-0.11326250000000115
42,-0.6310500000000019
